Collection,Category,Name,Variant Name,Price,In Stock,URL,id
2006 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2006 Menghai ""San Ji Pu Bing"" Ripe Pu-erh Tea Cake",25 Gram Sample,9.80,Yes,https://yunnansourcing.com/products/2006-menghai-san-ji-pu-bing-ripe-pu-erh-tea-cake,30517932294
2006 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2006 Menghai Tea Factory ""7452"" Ripe Pu-erh Tea Cake",1 Cake (357 Grams),102.00,Yes,https://yunnansourcing.com/products/2006-menghai-tea-factory-7452-ripe-pu-erh-tea-cake,40708080262
2006 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2006 Menghai Tea Factory ""7452"" Ripe Pu-erh Tea Cake",25 Grams Sample,10.25,Yes,https://yunnansourcing.com/products/2006-menghai-tea-factory-7452-ripe-pu-erh-tea-cake,40708080454
2007 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2007 Hai Lang Hao ""Bu Lang Mountain"" Wild Arbor Raw Pu-erh",357 Gram Cake,130.00,Yes,https://yunnansourcing.com/products/2007-hai-lang-hao-bu-lang-mountain-wild-arbor-raw-pu-erh,31462901702
2007 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2007 Hai Lang Hao ""Bu Lang Mountain"" Wild Arbor Raw Pu-erh",25 Gram Sample,12.50,Yes,https://yunnansourcing.com/products/2007-hai-lang-hao-bu-lang-mountain-wild-arbor-raw-pu-erh,31462901766
2007 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2007 Hai Lang Hao ""Jing Mai Mountain"" Wild Arbor Raw Pu-erh",357 Gram Cake,130.00,Yes,https://yunnansourcing.com/products/2007-hai-lang-hao-jing-mai-mountain-wild-arbor-raw-pu-erh,31456774278
2007 Hai Lang Hao Pu-erh Teas,Raw Pu-erh Tea,"2007 Hai Lang Hao ""Jing Mai Mountain"" Wild Arbor Raw Pu-erh",25 Gram Sample,12.50,Yes,https://yunnansourcing.com/products/2007-hai-lang-hao-jing-mai-mountain-wild-arbor-raw-pu-erh,31456774342
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2007 Menghai ""7752"" Ripe Pu-erh Tea Cake",357 Gram Cake,78.00,Yes,https://yunnansourcing.com/products/2007-menghai-7752-ripe-pu-erh-tea-cake,30687973958
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2007 Menghai ""Adorned in Red"" Hong Zhuang Ripe Pu-erh Tea Cake",1 Cake (400 Grams),100.00,Yes,https://yunnansourcing.com/products/2007-menghai-adorned-in-red-hong-zhuang-ripe-pu-erh-tea-cake,42449446613
2007 Menghai Tea Factory Teas,Ripe Pu-erh Tea,"2007 Menghai ""Adorned in Red"" Hong Zhuang Ripe Pu-erh Tea Cake",25 Grams Sample,10.00,Yes,https://yunnansourcing.com/products/2007-menghai-adorned-in-red-hong-zhuang-ripe-pu-erh-tea-cake,43488093269
